,Dataset,Model scoring method,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
5,,SHAP KMeans,5.465914556801875e-06,0.439271411809292,2.13253484602523e-06,7.780646554745088e-06,4.06216831837225e-06,2.782647410753054e-06,1.871661651270269e-06,4.28991475824066e-06,5.428646957563152e-06,2.732957278427011e-07,5.047689276301887e-06,,,,,,,
2,wine-quality-red,PBFI FuzzyCMeans,0.1842366339992988,0.1017086961922081,0.2575058487609211,0.01363824888168394,0.008946939788587358,0.06150242395941932,0.05674806249250926,0.09407812992523461,0.103388563955412,0.04480555345782374,0.07344089858690177,,,,,,,
3,,SHAP FuzzyCMeans,0.08290646673613644,0.04488289513759224,0.1638725110335665,0.007453697443665185,0.004084727646293903,0.03625881774809424,0.0292981487345342,0.04020806621326361,0.03863607954739814,0.01633930335589508,0.05400334675689791,,,,,,,
4,,PFBI KMeans,0.1052530793246894,0.0622434449714253,0.1498896434306138,0.02693768761792551,0.09241535627409983,0.07620765456615605,0.06739689085261766,0.1017845837555736,0.09660243969693842,0.09885961507289745,0.1224096044370629,,,,,,,
5,,SHAP KMeans,0.2335552283271206,0.05456690877075489,0.2932489927425835,0.01329792284352091,0.02393125643708655,0.3168642455887529,0.2483667294547544,0.1691299807439491,0.08947522702308468,0.02559090830952784,0.4925505460595895,,,,,,,
2,glass,PBFI FuzzyCMeans,0.08892308469362782,0.07779308802806471,0.3198636386797815,0.1130423982951795,0.07273568191603445,0.03121249526800026,0.09694897752116503,0.08577147953399875,0.113709156064148,,,,,,,,,
3,,SHAP FuzzyCMeans,0.09175187418418716,0.07546788575638913,0.3580911551982709,0.1002161108669963,0.0989952490720905,0.02141792966477199,0.06642592951207094,0.06060765235553818,0.2586144501136275,,,,,,,,,
4,,PFBI KMeans,0.09279909211422227,0.06134577728568917,0.2225669231885447,0.1350299225544115,0.09080696014274442,0.1658284662484823,0.09070061529945993,0.06020425476092577,0.08071798840551996,,,,,,,,,
5,,SHAP KMeans,0.3164625523543337,0.07649408279921838,0.6475191740597029,0.2133196979842972,0.2270043859101857,0.02525253470532581,0.1975729494639441,0.084804817638471,0.6300699825450919,,,,,,,,,
2,saheart,PBFI FuzzyCMeans,0.03149038674626112,0.03120755408399045,0.04027611328293409,0.07624673024083203,0.6389781582500611,0.0003775083258221034,0.02865240545734899,0.01620924749025632,0.1365618961224937,,,,,,,,,
3,,SHAP FuzzyCMeans,0.01423076601164748,0.01179953689464424,0.01219002385477933,0.02720249892263028,0.6185192131699182,0.01059961960772715,0.00871717957608563,0.01282870311914159,0.06200306024014128,,,,,,,,,
